,Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,ng2,eps
0,Run,18.888888888888893,5,40,3.7777777777777786,5.161290322580649,0.0009559274434593561,0.015416895112468285,0.0718360447918868,0.43709875893518463
1,Switch To,49.34259259259261,1,8,49.34259259259261,2.6613396591547556,0.141459501933196,0.141459501933196,0.16817622368794782,1.0
2,Run * Switch To,5.379629629629612,5,40,1.0759259259259224,1.3574766355140147,0.2607215957382897,0.2855655535457501,0.02156724451538655,0.3456904959761212
