,W,chi2,dof,pval,spher,W,pval,normal,Assumption
0.0,0.00706733678801417,30.208856528051438,14,0.010871730272802865,False,,,,Sphericity
1.0,,,,,,0.8910839557647705,0.00014174157695379108,False,Normality
2.0,,,,,,0.9536909461021423,0.036106787621974945,False,Normality
